No dump file specified
 num     #instances         #bytes  class name (module)
 355:            49            784  java.util.regex.Pattern$$Lambda$9/0x0000000800b52b68 (java.base@15.0.1)
 356:            32            768  [Ljava.util.Enumeration; (java.base@15.0.1)
 357:            32            768  io.vertx.core.net.impl.VertxEventLoopGroup$EventLoopHolder
 358:            32            768  java.lang.CompoundEnumeration (java.base@15.0.1)
 359:            12            768  java.util.stream.IntPipeline$9 (java.base@15.0.1)
 360:            32            768  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@15.0.1)
 361:            24            768  org.jboss.logmanager.handlers.SyslogHandler$Facility
 362:            19            760  java.util.StringJoiner (java.base@15.0.1)
 363:            47            752  java.util.jar.Attributes (java.base@15.0.1)
 364:            18            720  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@15.0.1)
 365:            22            704  io.netty.util.Recycler$DefaultHandle
 366:            22            704  io.netty.util.concurrent.DefaultPromise
 367:             4            704  java.lang.reflect.ProxyGenerator (java.base@15.0.1)
 368:            22            704  java.util.ServiceLoader$ProviderImpl (java.base@15.0.1)
 369:            22            704  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@15.0.1)
 370:            29            696  java.util.regex.Pattern$Ques (java.base@15.0.1)
 371:            17            680  java.lang.NoSuchMethodError (java.base@15.0.1)
 372:            42            672  io.vertx.core.impl.TaskQueue$$Lambda$132/0x0000000800c963f8
 373:            28            672  java.lang.ThreadLocal$ThreadLocalMap (java.base@15.0.1)
