No dump file specified
 num     #instances         #bytes  class name (module)
 234:            16            768  [Ljava.util.concurrent.atomic.AtomicLong; (java.base@15.0.1)
 235:             8            768  io.micronaut.core.util.clhm.ConcurrentLinkedHashMap
 236:            32            768  io.netty.channel.nio.SelectedSelectionKeySet
 237:            32            768  io.netty.channel.nio.SelectedSelectionKeySetSelector
 238:            32            768  io.netty.util.internal.ThreadExecutorMap$1
 239:            26            760  [Ljava.lang.annotation.ElementType; (java.base@15.0.1)
 240:             2            760  [Ljava.time.LocalDateTime; (java.base@15.0.1)
 241:             2            752  io.netty.util.concurrent.FastThreadLocalThread
 242:            47            752  java.util.Collections$SingletonSet (java.base@15.0.1)
 243:             3            744  [Ljava.util.Map; (java.base@15.0.1)
 244:            23            736  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser (java.base@15.0.1)
 245:            45            720  java.util.regex.Pattern$BitClass (java.base@15.0.1)
 246:            30            720  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@15.0.1)
 247:            22            704  sun.reflect.annotation.AnnotationType (java.base@15.0.1)
 248:            28            672  java.time.LocalTime (java.base@15.0.1)
 249:            27            648  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser (java.base@15.0.1)
 250:            27            648  java.util.jar.Attributes$Name (java.base@15.0.1)
 251:            27            648  sun.security.provider.PolicyFile$PolicyEntry (java.base@15.0.1)
 252:            40            640  java.util.regex.Pattern$BranchConn (java.base@15.0.1)
 253:            10            640  java.util.stream.ReferencePipeline$2 (java.base@15.0.1)
 254:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@15.0.1)
 255:            39            624  io.micronaut.core.convert.TypeConverter$$Lambda$48/0x0000000800be40b0
 256:            26            624  java.util.Arrays$ArrayList (java.base@15.0.1)
 257:            13            624  java.util.WeakHashMap (java.base@15.0.1)
 258:            21            608  [Ljava.io.ObjectStreamField; (java.base@15.0.1)
 259:            19            608  java.util.logging.LogManager$LogNode (java.logging@15.0.1)
 260:            15            600  io.netty.handler.codec.DefaultHeaders$HeaderEntry
 261:            15            600  java.time.format.DateTimeFormatter (java.base@15.0.1)
 262:            25            600  java.util.regex.Pattern$Ques (java.base@15.0.1)
 263:            37            592  java.util.LinkedHashSet (java.base@15.0.1)
 264:             2            576  [Lio.micronaut.http.HttpStatus;
 265:            18            576  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@15.0.1)
 266:            24            576  java.lang.invoke.Invokers (java.base@15.0.1)
 267:            24            576  java.time.Duration (java.base@15.0.1)
 268:            36            576  java.util.ImmutableCollections$ListN (java.base@15.0.1)
 269:            18            576  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@15.0.1)
 270:            18            576  sun.reflect.generics.repository.ClassRepository (java.base@15.0.1)
 271:            35            560  ch.qos.logback.core.joran.spi.ElementSelector
 272:            14            560  java.security.ProtectionDomain (java.base@15.0.1)
 273:            14            560  java.util.IdentityHashMap (java.base@15.0.1)
 274:            14            560  java.util.StringJoiner (java.base@15.0.1)
 275:             2            560  java.util.concurrent.ConcurrentHashMap$CounterCell (java.base@15.0.1)
